	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count
PKUV01_ENA|PKUV01000123|PKUV01000123.1_11	PKUV01	ENA|PKUV01000123|PKUV01000123.1	11	12231	13472	1	A		aba:Acid345_1506  ABC efflux pump, inner membrane subunit	True	0.7070000000000001	586.0	2.3439999999999985e-185								MacB-like periplasmic core domain [PF12704.7]; FtsX-like permease family [PF02687.21]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_12	PKUV01	ENA|PKUV01000123|PKUV01000123.1	12	13780	14373	1	C		sus:Acid_5971  hypothetical protein	False	0.484	174.0	4.917e-47												0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_13	PKUV01	ENA|PKUV01000123|PKUV01000123.1	13	14462	15124	-1	C	K03773	aba:Acid345_4533  peptidylprolyl isomerase, FKBP-type; K03773 FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]	False	0.588	226.0	1.1839999999999997e-64								FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.28]; Domain amino terminal to FKBP-type peptidyl-prolyl isomerase [PF01346.18]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_14	PKUV01	ENA|PKUV01000123|PKUV01000123.1	14	15500	16009	1	C	K04565	sus:Acid_0141  superoxide dismutase, copper/zinc binding; K04565 Cu/Zn superoxide dismutase [EC:1.15.1.1]	False	0.557	167.0	4.382e-45								Copper/zinc superoxide dismutase (SODC) [PF00080.20]		sp|P24705|SODC_NPVAC Putative superoxide dismutase [Cu-Zn]; Xh	Xh	0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_15	PKUV01	ENA|PKUV01000123|PKUV01000123.1	15	16031	16183	1	E																		0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_16	PKUV01	ENA|PKUV01000123|PKUV01000123.1	16	16180	16383	1	E																		0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_17	PKUV01	ENA|PKUV01000123|PKUV01000123.1	17	16285	16509	-1	E																		0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_18	PKUV01	ENA|PKUV01000123|PKUV01000123.1	18	16530	19670	-1	A		aba:Acid345_2533  hypothetical protein	True	0.6459999999999999	1313.0	0.0								Sortilin, neurotensin receptor 3, [PF15902.5]; Photosynthesis system II assembly factor YCF48 [PF14870.6]; BNR repeat-like domain [PF13088.6]	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151) [GH74]			0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_19	PKUV01	ENA|PKUV01000123|PKUV01000123.1	19	19734	20573	-1	C		sur:STAUR_5076  esterase family protein	False	0.384	175.0	6.0429999999999995e-46	MER0214130	S09X	MER0214130 - family S9 unassigned peptidases (Stigmatella aurantiaca) [S09.UPW]#S09X#{peptidase unit: 207-429}~source ZP_01465131~	False	0.397	154.0	4.596e-40	Putative esterase [PF00756.20]	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122) [CE1]			0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_20	PKUV01	ENA|PKUV01000123|PKUV01000123.1	20	20705	21145	-1	C		aca:ACP_3002  vitamin K epoxide reductase family protein	False	0.438	100.0	2.222e-22								Vitamin K epoxide reductase family [PF07884.14]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_21	PKUV01	ENA|PKUV01000123|PKUV01000123.1	21	21142	21579	-1	C		pseu:Pse7367_0304  vitamin K epoxide reductase	False	0.428	91.0	5.564000000000001e-19								Thioredoxin [PF00085.20]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_22	PKUV01	ENA|PKUV01000123|PKUV01000123.1	22	21663	22601	-1	C	K07029	cau:Caur_2704  diacylglycerol kinase catalytic subunit; K07029	False	0.302	143.0	1.962e-34								Diacylglycerol kinase catalytic domain [PF00781.24]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_23	PKUV01	ENA|PKUV01000123|PKUV01000123.1	23	22700	24409	-1	C	K01897	mxa:MXAN_1528  long-chain-fatty-acid--CoA ligase; K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	False	0.318	258.0	3.8249999999999994e-70								AMP-binding enzyme [PF00501.28]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_24	PKUV01	ENA|PKUV01000123|PKUV01000123.1	24	24506	24748	-1	D														Phosphopantetheine attachment site [PF00550.25]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_25	PKUV01	ENA|PKUV01000123|PKUV01000123.1	25	24811	25614	-1	C	K01715	mxa:MXAN_3799  crt; 3-hydroxybutyryl-CoA dehydratase (EC:4.2.1.55); K01715 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	False	0.341	129.0	1.874e-30	MER1073108	S49C	MER1073108 - subfamily S49C non-peptidase homologues (Deferribacter desulfuricans) [S49.UNC]#S49C#{peptidase unit: 109-219}~source D3P9A0~	False	0.537	93.0	1.825e-19	Enoyl-CoA hydratase/isomerase [PF00378.20]; Enoyl-CoA hydratase/isomerase [PF16113.5]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_26	PKUV01	ENA|PKUV01000123|PKUV01000123.1	26	25611	27281	-1	C	K01897	cpc:Cpar_1101  AMP-dependent synthetase and ligase; K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	False	0.303	266.0	3.166e-73								AMP-binding enzyme [PF00501.28]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_27	PKUV01	ENA|PKUV01000123|PKUV01000123.1	27	27434	28843	-1	C		shi:Shel_23790  hypothetical protein	False	0.349	228.0	2.369999999999999e-61												0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_28	PKUV01	ENA|PKUV01000123|PKUV01000123.1	28	28840	29979	-1	C		cwo:Cwoe_4933  hypothetical protein	False	0.299	154.0	1.639e-37								Male sterility protein [PF07993.12]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.19]; NAD dependent epimerase/dehydratase family [PF01370.21]; GDP-mannose 4,6 dehydratase [PF16363.5]; NAD(P)H-binding [PF13460.6]; RmlD substrate binding domain [PF04321.17]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_29	PKUV01	ENA|PKUV01000123|PKUV01000123.1	29	29964	32447	-1	C	K01897	hoh:Hoch_3248  AMP-dependent synthetase and ligase; K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]	False	0.36	325.0	5.318999999999997e-90								Male sterility protein [PF07993.12]; Male sterility protein [PF03015.19]; haloacid dehalogenase-like hydrolase [PF12710.7]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_30	PKUV01	ENA|PKUV01000123|PKUV01000123.1	30	32717	33925	-1	E																		0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_31	PKUV01	ENA|PKUV01000123|PKUV01000123.1	31	33945	35114	-1	A	K07240	aba:Acid345_1321  chromate transporter; K07240 chromate transporter	True	0.555	406.0	1.5159999999999995e-123								Chromate transporter [PF02417.15]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_32	PKUV01	ENA|PKUV01000123|PKUV01000123.1	32	35257	35472	1	C		brs:S23_31250  hypothetical protein	False	0.836	118.0	5.0869999999999994e-30												0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_33	PKUV01	ENA|PKUV01000123|PKUV01000123.1	33	35553	36179	-1	C		aba:Acid345_2119  hypothetical protein	False	0.6509999999999999	254.0	1.373e-74								Putative zinc- or iron-chelating domain [PF03692.15]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_34	PKUV01	ENA|PKUV01000123|PKUV01000123.1	34	36614	38263	-1	A		sus:Acid_5892  radical SAM domain-containing protein	True	0.725	800.0	6.2299999999999934e-257								B12 binding domain [PF02310.19]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_35	PKUV01	ENA|PKUV01000123|PKUV01000123.1	35	38529	39839	1	A		saci:Sinac_7043  3-carboxymuconate cyclase	True	0.568	401.0	4.4139999999999965e-121								Lactonase, 7-bladed beta-propeller [PF10282.9]; Cytochrome D1 heme domain [PF02239.16]; SMP-30/Gluconolactonase/LRE-like region [PF08450.12]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_36	PKUV01	ENA|PKUV01000123|PKUV01000123.1	36	39853	41265	-1	D														Trypsin-like peptidase domain [PF13365.6]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_37	PKUV01	ENA|PKUV01000123|PKUV01000123.1	37	42069	44225	-1	A		aba:Acid345_0793  radical SAM family Fe-S protein	True	0.7759999999999999	1129.0	0.0								Radical SAM superfamily [PF04055.21]; 4Fe-4S single cluster domain [PF13353.6]; 4Fe-4S single cluster domain [PF13394.6]				0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_38	PKUV01	ENA|PKUV01000123|PKUV01000123.1	38	44725	45030	1	C		dma:DMR_p1_00500  hypothetical protein	False	0.657	125.0	9.923e-32												0
PKUV01_ENA|PKUV01000123|PKUV01000123.1_39	PKUV01	ENA|PKUV01000123|PKUV01000123.1	39	45327	45884	1	C		tsa:AciPR4_0563  response regulator receiver protein	False	0.486	155.0	1.084e-40								Response regulator receiver domain [PF00072.24]				0
PKUV01_ENA|PKUV01000124|PKUV01000124.1_1	PKUV01	ENA|PKUV01000124|PKUV01000124.1	1	385	750	-1	C		aba:Acid345_3587  XRE family transcriptional regulator	False	0.622	108.0	2.7e-25								Helix-turn-helix domain [PF13744.6]				0
PKUV01_ENA|PKUV01000124|PKUV01000124.1_2	PKUV01	ENA|PKUV01000124|PKUV01000124.1	2	811	1164	-1	C		oac:Oscil6304_5031  hypothetical protein	False	0.586	119.0	1.7279999999999998e-29								Phage derived protein Gp49-like (DUF891) [PF05973.14]				0
PKUV01_ENA|PKUV01000124|PKUV01000124.1_3	PKUV01	ENA|PKUV01000124|PKUV01000124.1	3	1316	1435	-1	E																		0
PKUV01_ENA|PKUV01000124|PKUV01000124.1_4	PKUV01	ENA|PKUV01000124|PKUV01000124.1	4	1493	2389	-1	A		aba:Acid345_1044  hypothetical protein	True	0.725	422.0	4.029999999999998e-131								Beta-lactamase superfamily domain [PF13483.6]; Beta-lactamase superfamily domain [PF12706.7]; Metallo-beta-lactamase superfamily [PF00753.27]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_1	PKUV01	ENA|PKUV01000125|PKUV01000125.1	1	409	1107	1	C	K03088	aba:Acid345_1342  ECF subfamily RNA polymerase sigma-24 factor; K03088 RNA polymerase sigma-70 factor, ECF subfamily	False	0.693	263.0	5.259999999999998e-77								Sigma-70 region 2 [PF04542.14]; ECF sigma factor [PF07638.11]; Sigma-70, region 4 [PF08281.12]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_2	PKUV01	ENA|PKUV01000125|PKUV01000125.1	2	1119	1619	1	C		aba:Acid345_1341  hypothetical protein	False	0.397	115.0	5.892e-27												0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_3	PKUV01	ENA|PKUV01000125|PKUV01000125.1	3	1648	2307	1	C		aba:Acid345_1340  hypothetical protein	False	0.455	109.0	4.205e-24								Protein of unknown function (DUF3106) [PF11304.8]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_4	PKUV01	ENA|PKUV01000125|PKUV01000125.1	4	2525	2707	-1	C		aba:Acid345_4210  hypothetical protein	False	0.672	83.0	5.383e-18												0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_5	PKUV01	ENA|PKUV01000125|PKUV01000125.1	5	2704	3147	-1	C		aba:Acid345_4209  hypothetical protein	False	0.608	155.0	2.163e-41												0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_6	PKUV01	ENA|PKUV01000125|PKUV01000125.1	6	3148	4314	-1	A	K01262	aba:Acid345_4208  peptidase M24; K01262 Xaa-Pro aminopeptidase [EC:3.4.11.9]	True	0.652	501.0	9.869999999999992e-157	MER0065646	M24B	MER0065646 - subfamily M24B unassigned peptidases (Koribacter versatilis) [M24.UPB]#M24B#{peptidase unit: 139-386}~source YP_593282~	False	0.6459999999999999	318.0	1.743999999999999e-94	Metallopeptidase family M24 [PF00557.24]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_7	PKUV01	ENA|PKUV01000125|PKUV01000125.1	7	4415	4825	-1	C	K07062	dar:Daro_2534  twitching motility protein PilT; K07062	False	0.645	170.0	8.154000000000003e-47								PIN domain [PF01850.21]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_8	PKUV01	ENA|PKUV01000125|PKUV01000125.1	8	4822	5079	-1	C		neu:NE2111  hypothetical protein	False	0.617	100.0	1.572e-23								Antitoxin Phd_YefM, type II toxin-antitoxin system [PF02604.19]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_9	PKUV01	ENA|PKUV01000125|PKUV01000125.1	9	5377	6303	1	C	K00318	tsa:AciPR4_3359  proline dehydrogenase (EC:1.5.99.8); K00318 proline dehydrogenase [EC:1.5.99.8]	False	0.5710000000000001	338.0	1.0939999999999994e-101								Proline dehydrogenase [PF01619.18]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_10	PKUV01	ENA|PKUV01000125|PKUV01000125.1	10	6740	7696	-1	A		aba:Acid345_4211  GCN5-related N-acetyltransferase	True	0.672	426.0	5.760999999999996e-132								Acetyltransferase (GNAT) family [PF00583.25]; FR47-like protein [PF08445.10]; Acetyltransferase (GNAT) domain [PF13508.7]; Acetyltransferase (GNAT) domain [PF13673.7]; Acetyltransferase (GNAT) domain [PF13420.7]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_11	PKUV01	ENA|PKUV01000125|PKUV01000125.1	11	7806	9425	-1	A		aba:Acid345_4212  glycosyl transferase family protein	True	0.455	399.0	1.0699999999999995e-118									GT83 undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-) [GT83]			0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_12	PKUV01	ENA|PKUV01000125|PKUV01000125.1	12	9432	9671	-1	C		aba:Acid345_4213  hypothetical protein	False	0.596	86.0	1.074e-18												0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_13	PKUV01	ENA|PKUV01000125|PKUV01000125.1	13	9728	10693	-1	A	K06881	aba:Acid345_4214  phosphoesterase, RecJ-like; K06881 phosphoesterase RecJ domain-containing protein	True	0.644	389.0	4.5999999999999977e-119								DHH family [PF01368.20]; DHHA1 domain [PF02272.19]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_14	PKUV01	ENA|PKUV01000125|PKUV01000125.1	14	11000	11386	-1	C	K02834	aba:Acid345_4215  ribosome-binding factor A; K02834 ribosome-binding factor A	False	0.542	124.0	6.345e-31								Ribosome-binding factor A [PF02033.18]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_15	PKUV01	ENA|PKUV01000125|PKUV01000125.1	15	11559	11846	-1	C	K09764	aba:Acid345_4216  hypothetical protein; K09764 hypothetical protein	False	0.7509999999999999	146.0	3.885999999999999e-39								Protein of unknown function (DUF503) [PF04456.12]				0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_16	PKUV01	ENA|PKUV01000125|PKUV01000125.1	16	12071	12319	-1	E																		0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_17	PKUV01	ENA|PKUV01000125|PKUV01000125.1	17	12485	12688	1	C	K03704	aba:Acid345_1894  cold-shock DNA-binding protein family protein; K03704 cold shock protein (beta-ribbon, CspA family)	False	0.885	122.0	1.75e-31								'Cold-shock' DNA-binding domain [PF00313.22]		sp|P0A361|CSPA_STRP8 Major cold shock protein; Xh	Xh	0
PKUV01_ENA|PKUV01000125|PKUV01000125.1_18	PKUV01	ENA|PKUV01000125|PKUV01000125.1	18	13209	14876	1	A		msl:Msil_3672  hypothetical protein	True	0.528	524.0	1.282999999999999e-161												0
PKUV01_ENA|PKUV01000126|PKUV01000126.1_1	PKUV01	ENA|PKUV01000126|PKUV01000126.1	1	514	1377	-1	C		sus:Acid_2551  hypothetical protein	False	0.581	265.0	8.009999999999997e-77												0
PKUV01_ENA|PKUV01000126|PKUV01000126.1_2	PKUV01	ENA|PKUV01000126|PKUV01000126.1	2	1361	1540	-1	E																		0
PKUV01_ENA|PKUV01000126|PKUV01000126.1_3	PKUV01	ENA|PKUV01000126|PKUV01000126.1	3	1857	2069	1	C		mhz:Metho_1372  hypothetical protein	False	0.545	62.0	1.8330000000000003e-10								CsbD-like [PF05532.12]				0
PKUV01_ENA|PKUV01000126|PKUV01000126.1_4	PKUV01	ENA|PKUV01000126|PKUV01000126.1	4	2153	2551	1	E																		0
PKUV01_ENA|PKUV01000126|PKUV01000126.1_5	PKUV01	ENA|PKUV01000126|PKUV01000126.1	5	2622	3281	-1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_1	PKUV01	ENA|PKUV01000127|PKUV01000127.1	1	34	387	-1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_2	PKUV01	ENA|PKUV01000127|PKUV01000127.1	2	407	1831	-1	D														Bacterial conjugation TrbI-like protein [PF03743.14]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_3	PKUV01	ENA|PKUV01000127|PKUV01000127.1	3	1806	2903	-1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_4	PKUV01	ENA|PKUV01000127|PKUV01000127.1	4	2890	3420	-1	C		hna:Hneap_1300  lytic transglycosylase	False	0.486	101.0	3.669e-22								Transglycosylase SLT domain [PF01464.20]	GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14) [GH23]			0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_5	PKUV01	ENA|PKUV01000127|PKUV01000127.1	5	3417	4493	-1	C		tpz:Tph_c11730  ATPase	False	0.449	228.0	5.107e-63								AAA domain (dynein-related subfamily) [PF07728.14]; ATPase family associated with various cellular activities (AAA) [PF00004.29]; AAA ATPase domain [PF13191.6]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_6	PKUV01	ENA|PKUV01000127|PKUV01000127.1	6	4921	5910	1	C		saci:Sinac_1934  hypothetical protein	False	0.28800000000000003	119.0	2.124e-26								Squalene-hopene cyclase C-terminal domain [PF13243.6]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_7	PKUV01	ENA|PKUV01000127|PKUV01000127.1	7	5907	6734	1	C		sus:Acid_1417  hypothetical protein	False	0.479	225.0	2.877999999999999e-63								Domain of unknown function (DUF362) [PF04015.12]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_8	PKUV01	ENA|PKUV01000127|PKUV01000127.1	8	6734	6892	1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_9	PKUV01	ENA|PKUV01000127|PKUV01000127.1	9	7132	7746	1	C		gau:GAU_3567  hypothetical protein	False	0.403	131.0	4.711e-32								Transcriptional regulator, AbiEi antitoxin [PF13338.6]; AbiEi antitoxin C-terminal domain [PF09407.10]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_10	PKUV01	ENA|PKUV01000127|PKUV01000127.1	10	7743	8570	1	C		gau:GAU_3568  hypothetical protein	False	0.329	141.0	1.6199999999999994e-34								Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.11]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_11	PKUV01	ENA|PKUV01000127|PKUV01000127.1	11	8446	9087	-1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_12	PKUV01	ENA|PKUV01000127|PKUV01000127.1	12	9367	9753	1	E																		0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_13	PKUV01	ENA|PKUV01000127|PKUV01000127.1	13	9814	10101	1	C		gem:GM21_0614  PAS/PAC sensor protein	False	0.452	78.0	1.745e-15												0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_14	PKUV01	ENA|PKUV01000127|PKUV01000127.1	14	10060	11118	-1	C	K03199	aca:ACP_1184  type IV secretion/conjugal transfer ATPase, VirB4 family; K03199 type IV secretion system protein VirB4	False	0.738	460.0	6.208999999999997e-143												0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_15	PKUV01	ENA|PKUV01000127|PKUV01000127.1	15	11118	11819	-1	C		aca:ACP_1183  hypothetical protein	False	0.7959999999999999	162.0	2.5e-42								TrbC/VIRB2 family [PF04956.13]; Type IV secretory pathway, VirB3-like protein [PF05101.13]				0
PKUV01_ENA|PKUV01000127|PKUV01000127.1_16	PKUV01	ENA|PKUV01000127|PKUV01000127.1	16	12427	12714	1	E																		0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_1	PKUV01	ENA|PKUV01000128|PKUV01000128.1	1	77	538	1	C	K09117	aba:Acid345_0104  hypothetical protein; K09117 hypothetical protein	False	0.631	192.0	5.086e-54								Yqey-like protein [PF09424.10]		REFSEQ hypothetical protein; Xu	Xu	0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_2	PKUV01	ENA|PKUV01000128|PKUV01000128.1	2	542	1435	-1	A	K07056	aba:Acid345_0035  hypothetical protein; K07056 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]	True	0.65	366.0	9.967999999999994e-112								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.20]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_3	PKUV01	ENA|PKUV01000128|PKUV01000128.1	3	1733	2863	1	A	K03553	aca:ACP_3307  recA; recA protein; K03553 recombination protein RecA	True	0.816	572.0	2.7389999999999983e-181								recA bacterial DNA recombination protein [PF00154.21]; Rad51 [PF08423.11]; KaiC [PF06745.13]		sp|P04529|UVSX_BPT4 Recombination and repair protein; XhXr	Xr;Xh	0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_4	PKUV01	ENA|PKUV01000128|PKUV01000128.1	4	3042	3608	1	C	K00954	aba:Acid345_0567  phosphopantetheine adenylyltransferase; K00954 pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	False	0.721	228.0	1.1469999999999999e-65								Cytidylyltransferase-like [PF01467.26]; Citrate lyase ligase C-terminal domain [PF08218.11]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_5	PKUV01	ENA|PKUV01000128|PKUV01000128.1	5	3605	4810	1	A		aba:Acid345_0568  L-aspartate aminotransferase	True	0.752	589.0	8.099e-187								Aminotransferase class I and II [PF00155.21]; DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.17]; Cys/Met metabolism PLP-dependent enzyme [PF01053.20]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_6	PKUV01	ENA|PKUV01000128|PKUV01000128.1	6	5003	6004	1	A	K01809	aba:Acid345_0569  mannose-6-phosphate isomerase; K01809 mannose-6-phosphate isomerase [EC:5.3.1.8]	True	0.5529999999999999	352.0	3.8239999999999987e-106								Phosphomannose isomerase type I [PF01238.21]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_7	PKUV01	ENA|PKUV01000128|PKUV01000128.1	7	6153	7277	1	A	K00971	aba:Acid345_0570  mannose-1-phosphate guanylyltransferase (GDP); K00971 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	True	0.664	492.0	7.427999999999995e-154								Nucleotidyl transferase [PF00483.23]; MobA-like NTP transferase domain [PF12804.7]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_8	PKUV01	ENA|PKUV01000128|PKUV01000128.1	8	7431	8846	1	A		aba:Acid345_0571  phosphoglucosamine mutase	True	0.643	594.0	2.9209999999999975e-187								Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.16]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.16]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.16]; Phosphoglucomutase/phosphomannomutase, C-terminal domain [PF00408.20]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_9	PKUV01	ENA|PKUV01000128|PKUV01000128.1	9	8987	10129	1	A	K06013	aba:Acid345_0572  Ste24 endopeptidase; K06013 STE24 endopeptidase [EC:3.4.24.84]	True	0.6729999999999999	494.0	2.742999999999998e-154	MER0065418	M48A	MER0065418 - subfamily M48A unassigned peptidases (Koribacter versatilis) [M48.UPA]#M48A#{peptidase unit: 106-379}~source YP_589651~	True	0.703	385.0	6.606999999999997e-118	Peptidase family M48 [PF01435.18]; CAAX prenyl protease N-terminal, five membrane helices [PF16491.5]; BlaR1 peptidase M56 [PF05569.11]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_10	PKUV01	ENA|PKUV01000128|PKUV01000128.1	10	10179	10910	-1	C	K00979	aba:Acid345_0573  3-deoxy-D-manno-octulosonate cytidylyltransferase; K00979 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	False	0.6709999999999999	318.0	6.0909999999999966e-96								Cytidylyltransferase [PF02348.19]; MobA-like NTP transferase domain [PF12804.7]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_11	PKUV01	ENA|PKUV01000128|PKUV01000128.1	11	11144	13870	-1	A		rmg:Rhom172_0087  peptidase M16 domain-containing protein	True	0.648	1145.0	0.0	MER0130558	M16C	MER0130558 - subfamily M16C unassigned peptidases (Rhodothermus marinus) [M16.UPC]#M16C#{peptidase unit: 72-443}~source ACY46998~	True	0.698	522.0	2.1779999999999983e-156	Peptidase M16 inactive domain [PF05193.21]; Insulinase (Peptidase family M16) [PF00675.20]		sp|Q5UPX9|YL233_MIMIV Putative zinc protease L233; Xh	Xh	0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_12	PKUV01	ENA|PKUV01000128|PKUV01000128.1	12	14268	16028	1	A	K02945	sus:Acid_1915  30S ribosomal protein S1; K02945 small subunit ribosomal protein S1	True	0.684	770.0	7.518999999999993e-246								S1 RNA binding domain [PF00575.23]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_13	PKUV01	ENA|PKUV01000128|PKUV01000128.1	13	16181	17083	-1	C	K02301	aba:Acid345_2218  protoheme IX farnesyltransferase; K02301 protoheme IX farnesyltransferase [EC:2.5.1.-]	False	0.5720000000000001	321.0	4.227999999999998e-96								UbiA prenyltransferase family [PF01040.18]				0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_14	PKUV01	ENA|PKUV01000128|PKUV01000128.1	14	17300	18823	-1	C		aba:Acid345_0432  hypothetical protein	False	0.325	230.0	1.0829999999999997e-61												0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_15	PKUV01	ENA|PKUV01000128|PKUV01000128.1	15	18820	19896	-1	C		aba:Acid345_0433  hypothetical protein	False	0.332	163.0	8.123e-41												0
PKUV01_ENA|PKUV01000128|PKUV01000128.1_16	PKUV01	ENA|PKUV01000128|PKUV01000128.1	16	20371	21834	1	A		aba:Acid345_0434  hypothetical protein	True	0.514	454.0	1.0409999999999993e-138												1
